run_date,event_date,company,drug,event_type,title,source,link,nct_id,status
2026-03-19,,Novo Nordisk,Ziltivekimab,press,who-we-are.html,www.novonordisk-us.com,https://www.novonordisk-us.com/about/who-we-are.html,,
2026-03-19,,Novo Nordisk,Ziltivekimab,press,what-we-do.html,www.novonordisk-us.com,https://www.novonordisk-us.com/about/what-we-do.html,,
2026-03-19,,Novo Nordisk,Ziltivekimab,press,perspectives.html,www.novonordisk-us.com,https://www.novonordisk-us.com/about/perspectives.html,,
2026-03-19,,Novo Nordisk,Ziltivekimab,press,Copyright,www.novonordisk-us.com,https://www.novonordisk-us.com/copyright.html,,
2026-03-19,,Novo Nordisk,Ziltivekimab,press,Report a side effect or product complaint,www.novonordisk-us.com,https://www.novonordisk-us.com/patient-help/safety-reporting.html,,
2026-03-19,,Novo Nordisk,Ziltivekimab,press,Select location,www.novonordisk-us.com,https://www.novonordisk-us.com/location.html,,
2026-03-19,,Novo Nordisk,Ziltivekimab,press,Privacy Policy,www.novonordisk-us.com,https://www.novonordisk-us.com/privacy-notice.html,,
2026-03-19,,Novo Nordisk,Ziltivekimab,press,Consumer Health Data Privacy Notice,www.novonordisk-us.com,https://www.novonordisk-us.com/privacy-notice/consumer-health-data-privacy-notice.html,,
2026-03-19,,Novo Nordisk,Ziltivekimab,press,Cookie Notice,www.novonordisk-us.com,https://www.novonordisk-us.com/cookie-policy.html,,
2026-03-19,2019-12-18,Novartis,Pacibekitug,trial,Interleukin-1 (IL-1) Blockade in Acute Myocardial Infarction (VCU-ART3),clinicaltrials.gov,https://clinicaltrials.gov/study/NCT01950299,NCT01950299,COMPLETED
2026-03-19,,Novartis,Pacibekitug,press,Untitled,www.novartis.com,https://www.novartis.com/,,
2026-03-19,,Novartis,Pacibekitug,press,Argentina | Español,www.novartis.com,https://www.novartis.com/ar-es/,,
2026-03-19,,Novartis,Pacibekitug,press,Brazil | Português,www.novartis.com,https://www.novartis.com/br-pt/,,
2026-03-19,,Novartis,Pacibekitug,press,Canada | English,www.novartis.com,https://www.novartis.com/ca-en/,,
2026-03-19,,Novartis,Pacibekitug,press,Canada | Français,www.novartis.com,https://www.novartis.com/ca-fr/,,
2026-03-19,,Novartis,Pacibekitug,press,Andean & CAC | Español,www.novartis.com,https://www.novartis.com/acc-es/,,
2026-03-19,,Novartis,Pacibekitug,press,Colombia | Español,www.novartis.com,https://www.novartis.com/co-es/,,
2026-03-19,,Novartis,Pacibekitug,press,Mexico | Español,www.novartis.com,https://www.novartis.com/mx-es/,,
2026-03-19,,Novartis,Pacibekitug,press,United States | English,www.novartis.com,https://www.novartis.com/us-en/,,
2026-03-19,,Novartis,Pacibekitug,press,Australia | English,www.novartis.com,https://www.novartis.com/au-en/,,
2026-03-19,,Novartis,Pacibekitug,press,Hong Kong S.A.R. | 繁體中文,www.novartis.com,https://www.novartis.com/hk-zh/,,
2026-03-19,,Novartis,Pacibekitug,press,India | English,www.novartis.com,https://www.novartis.com/in-en/,,
2026-03-19,,Novartis,Pacibekitug,press,Indonesia | English,www.novartis.com,https://www.novartis.com/id-en/,,
2026-03-19,,Novartis,Pacibekitug,press,Japan | 日本語,www.novartis.com,https://www.novartis.com/jp-ja/,,
2026-03-19,,Novartis,Pacibekitug,press,Korea | 한국어,www.novartis.com,https://www.novartis.com/kr-ko/,,
2026-03-19,2026-02-27,Novartis,Pelacarsen,trial,Assessing the Impact of Lipoprotein (a) Lowering With Pelacarsen (TQJ230) on Major Cardiovascular Events in Patients With CVD,clinicaltrials.gov,https://clinicaltrials.gov/study/NCT04023552,NCT04023552,ACTIVE_NOT_RECRUITING
2026-03-19,2022-01-03,Novartis,Pelacarsen,trial,Influence of Pelacarsen on Patients After Myocardial Infarction With High Lp(a) Values (PEMILA),clinicaltrials.gov,https://clinicaltrials.gov/study/NCT04993664,NCT04993664,WITHDRAWN
2026-03-19,2026-03-06,Amgen,Olpasiran,trial,OCEAN(a)-PreEvent - Olpasiran Trials of Cardiovascular Events And LipoproteiN(a) Reduction to Prevent First Major Cardiovascular Events,clinicaltrials.gov,https://clinicaltrials.gov/study/NCT07136012,NCT07136012,RECRUITING
2026-03-19,2026-02-27,Amgen,Olpasiran,trial,Olpasiran Trials of Cardiovascular Events and Lipoprotein(a) Reduction (OCEAN(a)) - Outcomes Trial,clinicaltrials.gov,https://clinicaltrials.gov/study/NCT05581303,NCT05581303,ACTIVE_NOT_RECRUITING
2026-03-19,,Amgen,Olpasiran,press,Untitled,www.amgen.com,https://www.amgen.com/,,
2026-03-19,,Amgen,Olpasiran,press,About,www.amgen.com,https://www.amgen.com/about,,
2026-03-19,,Amgen,Olpasiran,press,Amgen History,www.amgen.com,https://www.amgen.com/about/amgen-history,,
2026-03-19,,Amgen,Olpasiran,press,Mission and Values,www.amgen.com,https://www.amgen.com/about/mission-and-values,,
2026-03-19,,Amgen,Olpasiran,press,Leadership,www.amgen.com,https://www.amgen.com/about/leadership,,
2026-03-19,,Amgen,Olpasiran,press,Awards and Accolades,www.amgen.com,https://www.amgen.com/about/awards-and-accolades,,
2026-03-19,,Amgen,Olpasiran,press,Therapy Areas,www.amgen.com,https://www.amgen.com/about/therapy-areas,,
2026-03-19,,Amgen,Olpasiran,press,Cardiovascular Metabolic,www.amgen.com,https://www.amgen.com/about/therapy-areas/cardiovascular,,
2026-03-19,,Amgen,Olpasiran,press,Bone Health,www.amgen.com,https://www.amgen.com/about/therapy-areas/bone-health,,
2026-03-19,,Amgen,Olpasiran,press,Inflammation,www.amgen.com,https://www.amgen.com/about/therapy-areas/inflammation,,
2026-03-19,,Amgen,Olpasiran,press,Oncology,www.amgen.com,https://www.amgen.com/about/therapy-areas/oncology,,
2026-03-19,,Amgen,Olpasiran,press,How We Operate,www.amgen.com,https://www.amgen.com/about/how-we-operate,,
2026-03-19,,Amgen,Olpasiran,press,Corporate Governance,www.amgen.com,https://www.amgen.com/about/how-we-operate/corporate-governance,,
2026-03-19,,Amgen,Olpasiran,press,Business Ethics and Compliance,www.amgen.com,https://www.amgen.com/responsibility/a-healthy-amgen/business-ethics-and-compliance,,
